,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11
mix,0.01,2.009999999985952,0.01,0.01,0.01,1.0099999999828941,0.01,0.01,0.01,0.01,0.01
mixed,0.01,0.01,0.01,4.009999999988175,0.01,0.01,0.01,0.01,0.01,0.01,0.01
mkdir,0.01,2.220914925948543,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.7990850740341484,0.01
mkdirs,0.01,0.01,0.01,0.01,0.01,0.01,1.0945492090477085,0.01,0.01,9.925450790943062,0.01
mistake,0.01,1.6092656269625734,1.4107343730237505,0.01,0.01,0.01,0.01,1.009999999986835,0.01,0.01,0.01
mock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.951588345061784,0.01,0.01,1.0684116549203813
moderate,0.01,0.01,0.01,0.01,0.01,4.009999999993332,1.0099999999923897,0.01,0.01,0.01,0.01
modern,0.01,0.01,0.01,0.01,0.01,2.083711040735715,0.01,2.9362889592375416,0.01,0.01,0.01
modification,0.01,6.079767713556994,0.01,1.460738918232002,0.01,0.01,0.01,25.489493368192463,0.01,0.01,0.01
modifies,0.01,3.0099999999936036,0.01,0.01,0.01,0.01,1.1445327870669146,0.01,0.01,0.875467212921384,0.01
modify,0.01,11.322390414065097,0.01,8.692605842838471,0.01,0.01,0.01,2.638888242282652,0.01,4.276358306649466,10.11975719414639
modular,0.01,1.0099999999919071,0.01,3.009999999994351,0.01,0.01,0.01,0.01,0.01,0.01,0.01
syncable,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999924854,0.01,0.01,0.01,0.01
miss,0.01,13.985547083204576,0.01,0.01,0.01,0.01,4.101698873956494,3.9427540428143693,0.01,0.01,0.01
mirror,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.00999999999187,0.01,0.01,0.01
minute,0.01,11.812167143101009,0.01,0.01,0.01,0.01,0.01,22.207832856890807,0.01,0.01,0.01
migrate,0.01,0.01,0.01,11.805041275966861,0.01,0.01,0.01,0.01,0.01,0.01,1.2149587240169146
migration,0.01,0.01,0.01,3.0099999999904834,0.9942774399900445,0.01,0.01,1.025722560003677,0.01,0.01,0.01
million,0.01,2.1122609670570527,0.01,0.01,0.01,0.01,0.01,5.907739032926285,0.01,0.01,0.01
millisecond,0.01,2.009999999994582,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999986957,0.01,0.01
mimic,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999992718,0.01,0.01,0.01
min,0.01,5.009999999993987,0.01,0.01,0.01,0.01,3.3536164082646605,0.01,4.666383591723775,0.01,0.01
syncs,0.01,3.0099999999871745,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
minicluster,0.01,2.009999999995652,0.01,2.0099999999954155,0.01,0.01,0.01,0.01,0.01,0.01,0.01
minimal,0.01,0.01,0.01,0.01,0.01,0.01,3.649871757253572,1.2310824942625038,5.302626933910264,0.01,4.856418814553597
minimise,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999995982
minimize,0.01,2.854645130807203,0.01,5.165354869180278,0.01,0.01,0.01,0.01,0.01,0.01,0.01
minimizes,0.01,0.01,0.01,0.01,2.009999999998921,0.01,0.01,0.01,0.01,0.01,0.01
minimum,0.01,12.744928276133141,0.01,3.9703256537827945,0.01,0.01,0.01,5.214103707910427,0.01,0.01,1.1106423621523143
mining,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999910665,0.01,0.01,0.01,0.01
minor,0.01,0.01,11.193489012330847,1.3032568118012764,0.01,0.01,4.533254175854669,0.01,0.01,0.01,0.01
michael,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999948615,0.01,0.01,0.01,2.009999999993262
master,0.01,14.787092486885381,0.01,3.194866974913889,0.01,0.01,4.048040538181395,0.01,0.01,0.01,0.01
massive,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999644185,0.01,0.01,0.01
mask,0.01,0.01,0.01,0.01,0.01,0.01,1.1909758819165965,1.8290241179909252,1.0099999999977645,0.01,0.01
technically,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999849167
tease,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999932383,0.01,0.01,0.01,1.009999999995249
logj,0.01,0.01,0.01,0.01,0.01,0.01,25.0099999999933,0.01,0.01,0.01,0.01
long,0.01,38.95152777366652,3.1256709696008054,0.01,0.01,0.01,16.521595538954355,33.62184350524225,0.01,19.82936221251803,0.01
longer,0.01,11.11755408195806,0.01,0.01,0.01,0.01,0.01,7.379610855723347,0.01,0.01,6.532835062301975
teardown,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.00999999999131,0.01,0.01,0.01
logging,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999993975,0.01,0.01,0.01,0.01
loop,0.01,0.01,0.01,2.0626579663615017,0.01,0.01,10.957342033622131,0.01,0.01,0.01,0.01
lose,0.01,0.01,0.01,0.01,0.01,1.0287299992757928,7.194859813689326,10.80641018702069,0.01,0.01,0.01
loses,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999990705,0.01,0.01,0.01,0.01
loss,0.01,7.287256240931258,0.01,1.0725071525941496,0.01,0.01,0.01,6.670236606459211,0.01,0.01,0.01
tear,0.01,1.0099999999898917,0.01,0.01,0.01,1.009999999994747,0.01,0.01,0.01,0.01,0.01
love,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999985771,0.01,0.01,0.01,0.01
low,0.01,32.916845182058864,0.01,0.01,3.1185868771198213,0.01,9.66371989926765,0.01,0.01,0.01,4.3408480415331026
loose,0.01,4.009999999988275,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
logger,0.01,0.01,0.01,0.01,0.01,0.01,7.009999999994469,0.01,0.01,0.01,0.01
technique,0.01,1.0099999999936058,0.01,1.0099999999862417,0.01,0.01,0.01,0.01,0.01,0.01,0.01
locations,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999993988
temporary,0.01,10.804547958524058,0.01,0.01,0.01,0.01,4.65257452658404,9.573504889121269,0.01,0.01,8.009372625755194
listing,0.01,0.01,0.01,0.01,9.805371253587412,0.01,0.01,0.01,0.01,21.352217083056928,38.872411663344295
liststatus,0.01,0.01,0.01,0.01,0.01,0.01,2.00999999998602,0.01,0.01,0.01,0.01
little,0.01,4.486864049895011,0.01,1.084789680509119,0.01,0.01,1.1176494648989492,0.01,0.01,0.01,2.350696804677765
liu,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999571088,0.01,0.01,0.01,0.01
live,0.01,0.01,0.01,2.211157287116956,0.01,0.01,0.01,10.80884271286536,0.01,0.01,0.01
lived,0.01,1.0886772372838929,0.01,0.01,0.01,0.01,1.931322762701857,0.01,0.01,0.01,0.01
template,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999935863,0.01,0.01,0.01,4.009999999992072
loader,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999887306,0.01,0.01
temp,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.103164636145343,0.01,0.01,17.916835363841766
locality,0.01,0.01,0.01,0.01,0.01,0.01,14.03773140927867,1.4517640871043622,0.01,0.01,1.5405045035921012
tell,0.01,0.01,0.01,0.01,0.01,0.01,3.9129897024462874,0.01,0.01,0.01,5.10701029754168
locally,0.01,0.01,1.00999999999821,0.01,0.01,0.01,3.5943655295978414,0.01,0.01,0.01,7.425634470389527
locate,0.01,0.01,0.01,0.01,0.01,0.01,13.00999999998533,0.01,0.01,0.01,0.01
location,0.01,0.01,1.7955218361954075,2.296558071485961,0.01,0.01,10.087263253834251,18.07155856347814,4.650430317237754,0.01,15.158667957749111
lower,0.01,0.01,0.01,1.0099999999671398,0.01,1.009999999959125,0.01,0.01,0.01,0.01,0.01
ls,0.01,0.01,0.01,4.860403283212007,0.01,0.01,0.01,0.01,1.1595967167691075,0.01,0.01
lts,0.01,0.01,2.00999999998679,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
lz,0.01,0.01,0.01,0.01,0.01,0.01,12.009999999993502,0.01,0.01,0.01,0.01
manipulate,0.01,3.0099999999930485,0.01,0.01,0.01,0.01,0.01,2.0099999999954075,0.01,0.01,0.01
manner,0.01,7.9525545434394775,0.01,0.01,0.01,0.01,2.936466188610344,1.1409792679178232,0.01,0.01,0.01
manual,0.01,7.192872864175134,0.01,0.01,0.01,0.01,4.6432757824867394,3.8801277884020697,0.01,0.01,4.323723564913
manually,0.01,9.878522560708207,2.6367543907766575,0.01,0.01,0.01,0.01,1.8111056053935908,0.01,0.01,2.7136174431057443
mapfile,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.009999999996235,0.01,0.01,0.01
mapoutput,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.009999999988568
tap,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999902307
mapper,0.01,1.2115938583704708,0.01,0.01,0.01,0.01,0.01,0.01,83.42913102911633,13.389275112502832,0.01
talk,0.01,0.01,0.01,5.73504011720464,0.01,34.73758717426452,0.01,0.01,0.01,0.01,9.55737270851522
mapred,0.01,0.01,0.01,4.29272801772758,0.01,0.01,0.01,0.01,0.01,0.01,6.727271982251757
mapreduce,0.01,10.211311224284177,0.01,29.537412717389643,0.01,0.01,15.249495056201301,0.01,0.01,21.77961554814632,70.27216545396114
mark,0.01,0.01,0.01,2.5638857753913444,0.01,0.01,2.4561142245871452,0.01,0.01,0.01,0.01
marked,0.01,0.01,0.01,2.068771680132423,0.01,1.00999999999848,0.01,4.95122831984173,0.01,0.01,1.0099999999958926
marker,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,8.009999999995374,0.01
marshal,0.01,0.01,0.01,1.5622383556361543,0.01,0.01,1.1829904858246278,0.01,0.01,0.01,1.2847711585226274
manifest,0.01,4.009999999993881,0.01,0.01,0.01,0.01,1.1074044305368038,0.01,0.01,4.912595569451571,0.01
moment,0.01,0.01,0.01,0.01,0.01,0.01,9.009999999989864,0.01,0.01,0.01,0.01
tar,0.01,0.01,0.01,0.01,0.01,4.009999999999114,3.009999999989096,5.009999999996465,0.01,0.01,0.01
manager,0.01,26.67704610922718,0.01,29.1508499040425,0.01,0.01,9.202103986717542,0.01,0.01,0.01,0.01
lzo,0.01,0.01,24.009999999997643,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
lzop,0.01,0.01,3.009999999997931,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
mac,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999952307,1.0099999999933316,0.01,0.01,0.01
magnitude,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999989003,0.01,0.01,0.01,0.01
mail,0.01,0.01,4.032395604372142,3.421470226862546,0.01,0.01,0.01,0.01,0.01,0.01,1.5761341687544526
tb,0.01,2.590496701826445,0.01,0.01,0.01,0.01,8.429503298161519,0.01,0.01,0.01,0.01
maintain,0.01,8.122501390127258,0.01,20.20698517523978,0.01,0.01,11.909125351688512,0.01,0.01,3.8013880829244413,0.01
maintains,0.01,0.01,0.01,0.01,0.01,0.01,8.009999999986661,0.01,0.01,0.01,0.01
major,0.01,5.660939150075281,0.01,0.01,0.01,0.01,10.357560088787972,0.01,0.01,0.01,14.011500761109806
majority,0.01,0.01,0.01,0.01,0.01,0.01,1.2731282553514505,6.746871744633474,0.01,0.01,0.01
tasktrackers,0.01,13.009999999991937,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
malicious,0.01,4.009999999994363,0.01,0.01,0.01,0.01,1.0099999999927294,0.01,0.01,0.01,0.01
man,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999949127
tasktracker,0.01,0.01,0.01,0.01,0.01,0.01,17.00999999999416,0.01,0.01,0.01,0.01
managed,0.01,0.01,0.01,4.009999999992684,0.01,0.01,0.01,0.01,0.01,0.01,0.01
tarball,0.01,0.01,0.01,1.0099999999813392,0.01,1.0099999999986329,0.01,0.01,0.01,0.01,0.01
month,0.01,0.01,2.5966430918599355,0.01,0.01,0.01,0.01,1.4233569081134232,0.01,0.01,1.0099999999934604
motivation,0.01,0.01,0.01,0.01,0.01,0.01,5.195106284809839,0.01,0.01,0.01,10.82489371517385
symptom,0.01,2.009999999994421,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
operator,0.01,1.0099999999953406,0.01,1.0099999999932276,0.01,0.01,0.01,0.01,0.01,0.01,0.01
opinion,0.01,0.01,1.0099999999971196,0.01,0.01,0.01,2.0099999999872455,0.01,0.01,0.01,0.01
opportunity,0.01,0.01,0.01,0.01,0.01,0.01,1.4592097795994297,3.3892609744841953,0.01,6.952646394060656,1.2388828518358206
oppose,0.01,1.4889559334077413,0.01,0.01,0.01,0.01,1.2631683168715142,0.01,0.01,0.01,3.277875749701792
surround,0.01,1.0099999999867169,0.01,1.0099999999925595,0.01,0.01,0.01,0.01,0.01,0.01,0.01
opt,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.009999999994889,0.01,0.01,2.0099999999240703
operational,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999926892,0.01,0.01,1.0099999999941345
optimal,0.01,0.01,0.01,0.01,0.01,0.01,6.980073222481355,0.01,0.01,0.01,1.0399267775073617
optimise,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999989199,0.01,0.01,0.01
surprisingly,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999837306,0.01,0.01,0.01,0.01
surprised,0.01,0.01,0.01,0.01,0.01,0.01,0.797366549957952,1.2226334500284832,0.01,0.01,0.01
optimized,0.01,2.0099999999942897,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
optimum,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999947384,1.0099999999867915
option,0.01,26.02997451909789,6.031675191824407,38.18652544410985,13.520540693218278,0.01,0.01,21.256492141385948,53.322435506498906,2.6232378628022572,48.109118641042905
optimisation,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999926688,0.01,0.01,0.01
operating,0.01,1.3592999912735886,0.01,0.01,0.01,1.6493810844744767,0.01,1.0787528930099084,0.01,1.9525660312224487,0.01
operates,0.01,0.01,0.01,1.1737215640037229,0.01,0.01,0.01,0.01,0.01,0.8462784359835862,0.01
operate,0.01,2.8856868625928307,0.01,0.01,2.5750766586827476,0.01,4.569236478700376,0.01,0.01,0.01,0.01
offline,0.01,0.01,0.01,0.01,0.01,0.01,1.418756681506986,1.8858737404691452,0.01,0.01,1.7253695780090206
offset,0.01,0.01,0.01,0.01,0.01,0.01,1.269621848164353,4.23980811199472,0.01,20.520570039829256,0.01
oh,0.01,0.01,0.01,2.009999999979915,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ok,0.01,5.0099999999941,1.9734601873269275,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.046539812667001
old,0.01,2.0312503405644993,36.78692575718569,0.01,0.01,0.01,10.788184679059912,19.433639223170992,0.01,0.01,0.01
omit,0.01,2.5353438825721577,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.4846561174183848,0.01
ommitted,0.01,2.0099999999942897,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ongoing,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999926892,0.01,0.01,2.0099999999935334
online,0.01,0.01,0.01,1.1982416485906286,0.01,0.01,1.2651209392422331,4.7107563943861575,0.01,0.01,2.8658810177631517
oo,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.009999999995513,0.01,0.01,3.0099999999955673
oom,0.01,0.01,0.01,0.01,1.009999999994387,0.01,0.01,4.009999999987223,0.01,0.01,0.01
op,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999750757,0.01,0.01,1.0099999999881966,0.01
open,0.01,0.01,5.333855305794617,21.678890041564074,0.01,0.01,21.084594608367635,19.36801923036126,0.01,0.01,7.584640813891662
opening,0.01,0.01,0.01,7.352225213371182,7.288998093416585,0.01,3.3887766932015393,0.01,0.01,0.01,0.01
openjdk,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999988298,0.01,0.01,0.01,1.0099999999958964
surface,0.01,1.3423836563744351,0.01,0.01,0.01,5.088304766123255,4.59931157747677,0.01,0.01,0.01,0.01
optionally,0.01,3.6902855841094393,0.01,11.736323568778852,0.01,0.01,0.01,0.01,0.01,0.01,5.6033908470922915
options,0.01,3.0099999999930827,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
orc,0.01,0.01,1.617915554167768,1.4020844458184074,0.01,0.01,0.01,0.01,0.01,0.01,0.01
outstanding,0.01,8.009999999992518,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
overall,0.01,0.01,0.01,0.01,3.0697774317339257,0.01,5.8025661680364315,8.1576564002161,0.01,0.01,0.01
supergroup,0.01,0.01,0.01,1.3134943048286971,0.01,1.706505695163452,0.01,0.01,0.01,0.01,0.01
overhead,0.01,1.1796617696092448,0.01,0.01,0.01,1.3318344446181816,16.198501966777144,2.763746039158716,0.01,9.871913767371314,1.7143420124435997
superclass,0.01,2.0099999999866807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
overlap,0.01,1.1236062591571903,0.01,0.01,0.01,0.01,2.896393740813151,0.01,0.01,0.01,0.01
overload,0.01,0.01,0.01,3.1902339677281133,0.01,0.01,11.461664170384788,0.01,2.3781018618709235,0.01,0.01
override,0.01,0.01,0.01,0.01,5.105019065338735,0.01,0.01,0.01,0.01,4.91498093465518,8.009999999993243
overview,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,5.0099999999818845
overwrite,0.01,1.6228283178714142,0.01,0.01,0.01,0.01,0.01,5.490206610243383,0.01,17.91696507187177,0.01
overwritefalse,0.01,0.01,0.01,0.01,0.01,2.009999999985807,0.01,0.01,0.01,0.01,0.01
overwritten,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.009999999990946
owen,0.01,0.01,0.01,0.01,0.01,0.01,1.0813144689416516,0.01,0.01,0.01,3.9386855310410396
owner,0.01,10.009999999992804,0.01,0.01,0.01,0.01,5.009999999994789,0.01,0.01,0.01,4.009999999994695
ownership,0.01,0.01,0.01,0.01,5.009999999996486,0.01,0.01,0.01,0.01,0.01,0.01
outside,0.01,0.01,0.01,9.88027397573382,0.01,0.01,4.775144410550169,1.3855917012401022,0.01,0.01,1.998989912443584
official,0.01,0.01,5.009999999998184,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
output,0.01,0.01,0.01,0.01,0.01,0.01,85.04805286586245,0.01,28.217740306479524,93.09624779563437,7.677959032009388
superuser,0.01,0.01,0.01,0.01,4.009999999995976,0.01,0.01,0.01,0.01,0.01,0.01
order,0.01,32.583243419272975,0.01,18.318679241197245,0.01,0.01,26.824737181527194,6.540413308083159,0.01,24.87542804110218,14.917498808796593
ordinary,0.01,2.009999999979139,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
organization,0.01,8.738183563595312,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4.281816436390388
orgs,0.01,11.009999999997033,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
orient,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999891114,0.01,1.00999999999615,0.01,0.01
oriented,0.01,1.0099999999910854,0.01,0.01,0.01,0.01,1.0099999999891114,0.01,0.01,0.01,0.01
origin,0.01,0.01,4.009999999991111,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999848803
surefire,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999949336,0.01,0.01,0.01
originally,0.01,0.01,0.01,0.01,0.01,0.01,3.423660037737871,0.01,0.01,0.01,3.5963399622428067
originate,0.01,0.01,0.01,0.01,0.01,0.01,5.009999999985888,0.01,0.01,0.01,0.01
suppose,0.01,2.2579179854263,0.01,0.01,0.01,0.01,10.28964787210343,1.3969433630738113,2.095490779376311,0.01,0.01
osx,0.01,0.01,0.01,2.0099999999941423,0.01,0.01,0.01,0.01,0.01,0.01,0.01
ought,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999994938
outage,0.01,2.00999999998842,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
outcome,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.0099999999955704,0.01,0.01,0.01
outline,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2.009999999981218
linux,0.01,0.01,0.01,2.9970062551902963,0.01,3.3104532650577285,12.481767131559764,4.250773348169705,0.01,0.01,0.01
offering,0.01,0.01,0.01,6.009999999981396,0.01,0.01,0.01,0.01,0.01,0.01,0.01
occurs,0.01,1.9842187687491049,0.01,0.01,0.01,0.01,6.220905130904005,5.414971523087332,0.01,0.01,1.4199045772436658
namesystem,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999962557,0.01,0.01,0.01
namevalue,0.01,0.01,0.01,2.0099999999694855,0.01,0.01,0.01,0.01,0.01,0.01,0.01
narrow,0.01,1.0779111529902927,0.01,0.01,0.01,1.0099999999925282,2.9420888469976463,0.01,0.01,0.01,0.01
natively,0.01,0.01,0.01,0.01,0.01,0.01,4.009999999987823,0.01,0.01,0.01,0.01
natural,0.01,0.01,0.01,0.01,0.01,1.0099999999954798,3.3304968928541907,0.01,0.01,0.01,3.6895031071339948
naturally,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1.1606792210898866,0.01,0.8593207789015677,0.01
switch,0.01,5.01805047695828,0.01,14.281489990113114,2.7656861307496103,0.01,38.62369948301581,0.01,0.01,2.361073919143148,0.01
nature,0.01,0.01,0.01,1.159619689552232,0.01,0.01,0.01,0.01,4.860380310410829,0.01,0.01
nearly,0.01,1.1625793344488657,0.01,0.01,0.01,0.01,0.01,4.8574206655117464,0.01,0.01,0.01
necessarily,0.01,2.9635727899985707,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3.5404134158947764,1.5260137940827554
necessary,0.01,11.147113263704044,4.313146313065065,11.257882150458126,0.01,0.01,0.01,2.643774680403579,0.01,0.01,9.688083592349761
neck,0.01,0.01,0.01,0.01,0.01,0.01,3.0099999999906126,0.01,0.01,0.01,0.01
sweep,0.01,0.01,0.01,0.01,0.01,0.01,1.0099999999942597,0.01,0.01,0.01,1.009999999993694
negative,0.01,0.01,0.01,0.01,0.01,0.01,7.820741200487341,7.1992587995044826,0.01,0.01,0.01
near,0.01,0.01,0.01,0.01,0.01,17.734341822044495,4.2856581779447565,0.01,0.01,0.01,0.01
